"Stazione";"Metato"
"Codice";"TOS11000001"
"Comune";"San Giuliano Terme"
"Provincia";"PI"
"GB [m]";"E";1611400;"N";4847379
"WGS84 [°]";"Lat";43.771;"Lon";10.384
"Quota [m]";3,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore -9999 corrisponde a dato mancante
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Vel Med [m/s]";"Dir Med";"Vel Max [m/s]"
10/01/2011;1,2;NE;2,3
11/01/2011;0,9;N;2,5
12/01/2011;0,9;NE;2,8
13/01/2011;0,4;SO;1,3
14/01/2011;0,4;NE;1,4
15/01/2011;0,2;N;1,6
16/01/2011;0,5;O;1,9
17/01/2011;0,7;N;1,9
18/01/2011;0,1;N;1,6
19/01/2011;0,4;SO;1,6
20/01/2011;2,0;SE;5,5
21/01/2011;4,4;NE;7,3
22/01/2011;1,2;NE;4,3
23/01/2011;0,8;SE;3,2
24/01/2011;0,4;E;2,1
25/01/2011;0,8;SO;2,7
26/01/2011;1,1;SE;2,9
27/01/2011;3,3;NE;7,5
28/01/2011;2,8;NE;6,2
29/01/2011;4,9;NE;8,7
30/01/2011;5,3;NE;11,4
31/01/2011;1,6;O;6,2
01/02/2011;1,7;E;4,5
02/02/2011;1,6;SE;6,6
03/02/2011;1,0;NE;5,7
04/02/2011;0,6;N;2,3
05/02/2011;0,6;SO;2,1
06/02/2011;0,4;O;1,8
07/02/2011;0,7;SE;1,7
08/02/2011;0,6;SE;2,5
09/02/2011;0,7;O;2,9
10/02/2011;0,6;NO;1,9
11/02/2011;0,7;N;3,5
12/02/2011;0,3;S;2,1
13/02/2011;0,9;NO;2,3
14/02/2011;0,8;NE;2,2
15/02/2011;1,3;E;3,5
16/02/2011;3,3;NE;5,9
17/02/2011;1,9;NO;4,6
18/02/2011;1,0;N;3,5
19/02/2011;0,6;N;2,8
20/02/2011;1,1;SO;2,9
21/02/2011;0,7;NE;2,3
22/02/2011;1,0;NE;4,1
23/02/2011;2,5;NE;5,1
24/02/2011;0,7;NE;2,9
25/02/2011;1,1;O;4,9
26/02/2011;0,9;E;3,1
27/02/2011;2,9;NE;7,5
28/02/2011;4,7;NE;8,6
01/03/2011;4,7;N;10,8
02/03/2011;5,4;E;9,0
03/03/2011;2,1;E;6,6
04/03/2011;3,3;E;7,2
05/03/2011;0,9;NO;2,8
06/03/2011;1,0;E;3,4
07/03/2011;4,8;O;8,8
08/03/2011;2,6;NE;6,5
09/03/2011;0,8;E;3,1
10/03/2011;0,9;O;3,2
11/03/2011;0,6;O;1,8
12/03/2011;3,0;NO;5,2
13/03/2011;5,2;NE;10,4
14/03/2011;1,0;SE;3,0
15/03/2011;3,3;N;7,5
16/03/2011;2,3;NE;9,9
17/03/2011;1,3;E;5,5
18/03/2011;0,8;N;3,4
19/03/2011;0,9;O;3,8
20/03/2011;4,7;NE;9,4
21/03/2011;3,4;N;5,8
22/03/2011;1,8;NE;4,2
23/03/2011;1,5;N;4,1
